ingredient_id,ingredient_name,most_similar,most_similar_id,second_most_similar,second_most_similar_id,third_most_similar,third_most_similar_id
216,oats,wheat,355,buckwheat,49,cereal,69
217,oil,olive oil,219,shortening,303,butter,50
218,okra,cajun seasoning,54,shellfish,301,seafood seasoning,295
219,olive oil,oil,217,sun dried tomatoes,322,olives,220
220,olives,salami,288,sun dried tomatoes,322,artichoke,13
221,onion,green onions,149,nigella,209,leeks,177
222,orange,marmalade,194,tangerines,328,grapefruit,145
223,oregano,mixed herbs,201,tomato-based sauce,336,sun dried tomatoes,322
224,other berries,blueberry,42,blackberry,39,raspberries,271
225,other citrus,figs,131,flowers,137,prunes,264
226,other fresh cheese,epazote,125,tomatillo,335,cheddar and other firm cheeses,72
227,other fruits,passionfruit,235,other berries,224,bananas,23
228,other grains,flax seeds,135,wheat,355,buckwheat,49
229,oyster sauce,hoisin sauce,157,soy sauce,312,bechamel,32
230,pancakes,cake,55,baking mix,19,quick bread,267
231,papaya,mango,191,passionfruit,235,melon,197
232,paprika,barbecue seasonings and rubs,24,smoke,305,beer,35
233,parmesan and other hard cheeses,cheddar and other firm cheeses,72,mozzarella,205,soft cheese,306
234,parsley,mixed herbs,201,chard,71,rosemary,283
235,passionfruit,papaya,231,grapefruit,145,mango,191
236,pasta,noodles,212,pastry,237,bread,44
237,pastry,pie crust,248,bread,44,pasta,236
238,peaches/nectarines,pears,240,plum,255,blueberry,42
239,peanuts,bean sprouts,30,sesame,300,rice paper,276
240,pears,figs,131,peaches/nectarines,238,plum,255
241,peas,green beans,148,broccoli,46,gai lan,139
242,pecans,walnuts,350,nuts,215,macadamias,188
243,pepper,capsicum,58,chilies,81,chili,79
244,persimmon,other citrus,225,figs,131,pomegranate,256
245,pesto,mixed herbs,201,sun dried tomatoes,322,basil,27
246,pickles,horseradish,160,mayonnaise,195,radish,270
247,pickling spice,celery seeds,68,allspice,4,barbecue seasonings and rubs,24
248,pie crust,pastry,237,cookies,97,baking mix,19
249,pine nuts,pistachios,251,walnuts,350,cashews,63
250,pineapple,mango,191,mandarins,190,marmalade,194
251,pistachios,flowers,137,almonds,5,pine nuts,249
252,pizza,pastry,237,bread,44,pasta,236
253,plain yoghurt,flavoured yoghurt,134,african/middle eastern spice mix,0,lemon,178
254,plantains,annatto,10,epazote,125,tortillas/pita/flat breads,338
255,plum,peaches/nectarines,238,pears,240,figs,131
256,pomegranate,grapefruit,145,orange,222,bitters,37
257,poppy seeds,sunflower seeds,323,mandarins,190,seeds,298
258,pork,turkey,340,duck,118,game meats,140
259,pork stock,stock,317,veal stock,345,beef stock,34
260,potatoes,sweet potatoes,324,pasta,236,root vegetables,281
261,poultry,duck,118,game meats,140,pork,258
262,prawns/shrimp,lobster,186,shellfish,301,white fish,358
263,protein powder,flax seeds,135,agar agar,1,lecithin,176
264,prunes,figs,131,apricots,12,dates,114
265,pumpkin,pumpkin seeds,266,sweet potatoes,324,mixed spice,202
266,pumpkin seeds,seeds,298,sunflower seeds,323,pumpkin,265
267,quick bread,stuffing,319,bread,44,baking mix,19
268,quince,quinoa,269,couscous,103,pomegranate,256
269,quinoa,couscous,103,quince,268,wheat,355
270,radish,horseradish,160,watercress,354,beetroot,36
271,raspberries,other berries,224,blackberry,39,strawberry,318
272,red wine,white wine,359,rose wine,282,dessert wine,115
273,red wine vinegar,sherry vinegar,302,balsamic vinegar,21,vinegar,348
274,rhubarb,blueberry,42,blackberry,39,other berries,224
275,rice,couscous,103,noodles,212,pasta,236
276,rice paper,rice vinegar,277,dumpling wrappers,119,bean sprouts,30
277,rice vinegar,vinegar,348,red wine vinegar,273,cider vinegar,87
278,rice wine/sake,miso,200,bean paste,29,seaweed,297
279,ricotta,cottage cheese,102,goat's cheese,144,mozzarella,205
280,rocket,endives,124,greens,151,watercress,354
281,root vegetables,celeriac,66,leeks,177,beetroot,36
282,rose wine,white wine,359,red wine,272,dessert wine,115
283,rosemary,sage,286,marjoram,193,fennel,127
284,rum,liqueur,184,fruit liqueur,138,citrus liqueur,89
285,saffron,african/middle eastern spice mix,0,anise liqueur,9,fennel,127
286,sage,rosemary,283,savory,294,marjoram,193
287,salad dressing,vinaigrette,347,mayonnaise,195,alfredo sauce,3
288,salami,mozzarella,205,olives,220,sun dried tomatoes,322
289,salmon and other oily fish,white fish,358,crab,104,chicken,76
290,salsa,taco seasoning,326,corn/tortilla chips and hard tacos,101,chilies,81
291,salt,seasoning,296,malt,189,chard,71
292,sauerkraut/kimchi,caraway,60,cabbage,52,pickles,246
293,sausages,tomato-based sauce,336,salami,288,cajun seasoning,54
294,savory,marjoram,193,sage,286,rosemary,283
295,seafood seasoning,cajun seasoning,54,seasoning,296,barbecue seasonings and rubs,24
296,seasoning,barbecue seasonings and rubs,24,steak sauce/seasoning,316,jerk seasoning,169
297,seaweed,miso,200,natto,208,wasabi,351
298,seeds,flax seeds,135,ajwain,2,pumpkin seeds,266
299,seitan (wheat gluten),agar agar,1,lecithin,176,other grains,228
300,sesame,hoisin sauce,157,teriyaki,331,bean sprouts,30
301,shellfish,lobster,186,white fish,358,squid/octopus,314
302,sherry vinegar,red wine vinegar,273,balsamic vinegar,21,vinegar,348
303,shortening,butter,50,oil,217,baking mix,19
304,sichuan pepper,five spice,133,anise,8,oyster sauce,229
305,smoke,barbecue seasonings and rubs,24,barbecue/steak sauce,25,ketchup,171
306,soft cheese,goat's cheese,144,blue cheese,41,cheddar and other firm cheeses,72
307,soft drink,baking powder,20,gin and other infused spirits,142,black tea,38
308,sorrel,chervil,74,caviar/roe,65,anise liqueur,9
309,soup,chicken soup,78,american cheese and cheese products,6,cheddar and other firm cheeses,72
310,sour cream,cream,107,cream cheese,108,buttermilk,51
311,sourdough starter,seitan (wheat gluten),299,other grains,228,yeast,360
312,soy sauce,teriyaki,331,hoisin sauce,157,oyster sauce,229
313,spinach,chard,71,greens,151,kale,170
314,squid/octopus,shellfish,301,white fish,358,anise liqueur,9
315,starch,bamboo,22,five spice,133,oyster sauce,229
316,steak sauce/seasoning,barbecue seasonings and rubs,24,jerk seasoning,169,seasoning,296
317,stock,pork stock,259,veal stock,345,fish/seafood stock,132
318,strawberry,other berries,224,raspberries,271,blueberry,42
319,stuffing,quick bread,267,baking mix,19,breadcrumbs,45
320,sugar,brown sugar,47,artificial sweetener,14,syrup,325
321,sumac,african/middle eastern spice mix,0,hummus,161,lamb,173
322,sun dried tomatoes,tomatoes,337,pesto,245,parmesan and other hard cheeses,233
323,sunflower seeds,seeds,298,flax seeds,135,pumpkin seeds,266
324,sweet potatoes,potatoes,260,pumpkin,265,root vegetables,281
325,syrup,maple syrup,192,malt,189,white chocolate,357
326,taco seasoning,salsa,290,corn/tortilla chips and hard tacos,101,jerk seasoning,169
327,tamarind,lemongrass,179,thai curry paste,332,sichuan pepper,304
328,tangerines,orange,222,grapefruit,145,pomegranate,256
329,tarragon,chervil,74,chives,82,dill,116
330,tequila,guava,152,tomatillo,335,vodka,349
331,teriyaki,soy sauce,312,hoisin sauce,157,barbecue/steak sauce,25
332,thai curry paste,indian spice mix,164,japanese curry,167,lemongrass,179
333,thyme,mixed herbs,201,veal stock,345,sage,286
334,tofu,meat substitutes,196,non-dairy milk alternatives,211,seitan (wheat gluten),299
335,tomatillo,other fresh cheese,226,epazote,125,annatto,10
336,tomato-based sauce,tomatoes,337,beans,31,seasoning,296
337,tomatoes,sun dried tomatoes,322,tomato-based sauce,336,tomatillo,335
338,tortillas/pita/flat breads,corn/tortilla chips and hard tacos,101,dumpling wrappers,119,tomatillo,335
339,truffle,chervil,74,caviar/roe,65,sorrel,308
340,turkey,chicken,76,pork,258,duck,118
341,turmeric,indian spice mix,164,japanese curry,167,fenugreek,128
342,tzatziki,hummus,161,sumac,321,teriyaki,331
343,vanilla,white chocolate,357,instant pudding,165,chocolate,83
344,veal,veal stock,345,liver/kidneys/pate and other organ meats,185,game meats,140
345,veal stock,stock,317,pork stock,259,veal,344
346,vegetable stock,chicken and other poultry stock,77,stock,317,beef stock,34
347,vinaigrette,salad dressing,287,alfredo sauce,3,capsicum,58
348,vinegar,cider vinegar,87,red wine vinegar,273,rice vinegar,277
349,vodka,herbal liqueur,156,tequila,330,gin and other infused spirits,142
350,walnuts,pecans,242,nuts,215,hazelnuts,155
351,wasabi,seaweed,297,caviar/roe,65,miso,200
352,water,non-dairy milk alternatives,211,vegetable stock,346,chicken and other poultry stock,77
353,water chestnuts,chestnuts,75,bamboo,22,gai lan,139
354,watercress,endives,124,greens,151,rocket,280
355,wheat,buckwheat,49,flax seeds,135,quinoa,269
356,whiskey,brandy,43,maple syrup,192,syrup,325
357,white chocolate,chocolate,83,vanilla,343,chocolate liqueur,84
358,white fish,salmon and other oily fish,289,shellfish,301,lobster,186
359,white wine,rose wine,282,red wine,272,dessert wine,115
360,yeast,baking powder,20,sourdough starter,311,pizza,252
361,yeast spreads,meat substitutes,196,tofu removed,-1,vegetable stock,346
362,zucchini and squash,green beans,148,barley,26,meat substitutes,196
363,lovage,sage,286,celeriac,66,cabbage,52
364,frog_legs,poultry,261,duck,118,chicken,76
365,spirulina,spinach,313,buckwheat,49,kale,170
366,hearts_of_palm,artichoke,13,endives,124,greens,151
367,juniper_berries,lovage,363,dessert wine,115,cider,86
368,falafel,hummus,161,sumac,321,african/middle eastern spice mix,0
369,lemon_verbena,lemon,178,citrus peel/zest,90,falafel,368
370,mitsuba,rice wine/sake,278,seaweed,297,miso,200
